Q1,Q2,Major,Coding_exp_current,Coding_exp,When,LGP,Concept,Current_DL,Coding_LG,Challenges,Current_DL_Scale
No,1st,English Language & Literature,NO,NO,NO,4,O5,Beginner,5,I don’t know,3
No,1st,English Language & Literature,NO,NO,NO,4,"O1, O2",Intermediate,2,I'm concerned that class will be canceled because there are no people who want to learn,7
No,3rd,English Language & Literature,NO,YES,High_school,3,O4,Intermediate,4,"Difficulty with technical terminology: Technical terms used in the field of science may not be familiar to students. If they do not understand these terms, it can be difficult for them to comprehend to the information provided in the class.",7
No,1st,English Language & Literature,NO,NO,High_school,3,"O1, O3, O5",Intermediate,5,I suspect that students may not be as interested in this topic as I thought,4
No,1st,English Language & Literature,NO,NO,NO,3,"O4, O6",Intermediate,6,"How to devople my english level?
How to use my major in the future?",2
No,1st,English Language & Literature,NO,YES,High_school,5,O6,Beginner,5,"I'm not quite sure what syntax is, so I'm little bit conerned of syntax.",7
No,4th,English Language & Literature,NO,YES,Middle_school,3,"O1, O2, O4, O6",Advanced,3,Digital learning tools that engage learners,7
No,1st,English Language & Literature,NO,YES,High_school,4,"O1, O4, O6",Beginner,4,"Personally, I lack digital understanding such as coding programs and more insufficient utilization skills, so I think the subject will be effective only when basic knowledge is installed. In order to do so, I think I need to have a lot of classes and interest in coding.",6
No,2nd,English Language & Literature,NO,NO,NO,3,"O4, O6",Beginner,5,Learning coding is interesting but I'm worried because it's my first time learning it.,5
No,1st,English Language & Literature,NO,NO,NO,3,"O4, O6",Beginner,4,"I’m looking forward to it if I have a class on coding, but I’m worried because I’ve never done coding at all.",4
No,1st,English Language & Literature,NO,YES,Middle_school,3,O6,Beginner,3,I'm worried that I might not be able to adapt to the class because I'm not used to the name of the lecture,1
No,1st,English Language & Literature,NO,NO,NO,3,"O2, O3, O5",Intermediate,6,"If there were leveled courses, I would like to see an indication of the level of digital literacy required of students at each level.",5
No,1st,English Language & Literature,NO,NO,NO,4,"O4, O5",Advanced,2,"I'm completely new to coding and programming, and I'm worried that I won't be able to keep up with the other students and get a good enough grade. Coding and programming are done on our own compute(in school)r, and I'm not sure how it will be able to give each student the attention they need to make the class run smoothly.",6
No,1st,English Language & Literature,NO,NO,NO,2,O1,Intermediate,4,정확한 정보를 효율적으로 얻을 수 있다.,4
NO,1st,English Language & Literature,NO,NO,NO,2,O1,Intermediate,3,My biggest concern is my test scores.,3
NO,1st,English Language & Literature,NO,NO,NO,3,"O2, O5, O6",Intermediate,5,"To learn coding skills to create and develop software programs, websites, and other digital applications.",6
YES,3rd,English Language & Literature,YES,YES,High_school,3,O3,Intermediate,2,Nothing,7
NO,1st,English Education,NO,NO,NO,3,O1,Intermediate,3,Grammar,3
YES,2nd,English Language & Literature,YES,NO,NO,3,O4,Beginner,4,English grammar,5
YES,2nd,English Language & Literature,YES,NO,NO,2,"O1, O4",Intermediate,3,encountering coding that you've never encountered before,3
YES,2nd,English Language & Literature,YES,NO,NO,3,O6,Beginner,6,Coding was harder than I thought.,3
YES,2nd,English Language & Literature,YES,YES,University,3,"O4, O6",Beginner,1,"-Don't understand
-Failed to keep up with the practice",4
YES,3rd,English Language & Literature,YES,NO,NO,3,"O1, O4",Beginner,5,Digital skills,5
YES,2nd,English Language & Literature,YES,NO,NO,4,O4,Beginner,5,Computing skills,3
YES,2nd,English Language & Literature,YES,YES,High_school,4,"O1, O3, O6",Beginner,5,Coding is difficult for me to make code.,6
YES,2nd,English Language & Literature,YES,YES,High_school,3,"O4, O6",Beginner,5,I'm not good with computers. So I'm worried about coding.,2
YES,3rd,English Language & Literature,YES,NO,NO,4,"O1, O2",Intermediate,5,I'm most interested in activities to understand English grammar using coding.,7
YES,2nd,English Language & Literature,YES,NO,NO,4,"O1, O5",Advanced,6,"Combine knowledge of English grammar with technologies such as coding and big data.
Create my own English grammar content",8
YES,4th,English Language & Literature,YES,YES,University,4,"O2, O3",Advanced,5,"My biggest concern would be the lack of basic information. Since there are a lot of symbols to be aware of like (;, :,\ , and etc) that can cause a big error to run the program, I hope the professor gives well basic concepts to stude before creating the program.",7
YES,3rd,English Language & Literature,YES,NO,University,3,"O1, O2, O3, O4, O5, O6",Beginner,6,Not good at dealing with some digital things,4
YES,4th,English Language & Literature,YES,NO,NO,4,"O1, O4, O6",Beginner,5,The way of using coding or another computer system.,2
YES,4th,English Language & Literature,YES,NO,NO,4,O6,Beginner,4,I have concerns about learning something I don't know.,6
YES,3rd,English Language & Literature,YES,NO,NO,4,"O4, O5, O6",Intermediate,2,.,6
YES,2nd,English Language & Literature,YES,NO,NO,4,O5,Advanced,5,"Maybe most of the people have the less ability than the digital literacy experts. They may have hard time to adpat their ablility with digital literacy. It means people may require some cares such as do people go the right way or do people understand what the insturctor wants to teach. But the heat of digital literacy topic and education, recently, maybe there will be more people who want to take class than the plans of the instructor. Too many people may cause complications. People who are not familiar with digital literacy cannot learn properly. It means there will be no difference before taking classes and after taking classes. And this class system will give people just stress, not the happiness of learning. The original meaning of the class will be gone. It will give pain both intsturctors and learners.",6
YES,2nd,English Language & Literature,YES,NO,NO,3,"O1, O6",Beginner,5,I'm worried because I don't know much about working with computers such as coding and Python and I'm not good at it.,5
YES,2nd,English Language & Literature,YES,YES,High_school,3,O6,Beginner,4,My biggest concerns are that Can I really explain well when I combine digital literacy with English to teach someone? Can it also excite their interest? and Increasingly difficult and complex coding (even if the professor has entered all the coding expressions),6
YES,2nd,English Language & Literature,YES,NO,NO,3,"O4, O6",Intermediate,5,I am worried that I will not be able to follow the class properly because it is not familiar or difficult.,5
YES,4th,English Language & Literature,YES,YES,High_school,4,"O2, O6",Advanced,6,"It is widely believed that coding is complicated, so I was concerned that I could understand the lecture at once though I am interested in coding.",7
YES,2nd,English Language & Literature,YES,YES,High_school,3,"O4, O6",Beginner,4,I'm most worried about using Python.,5
YES,2nd,English Language & Literature,YES,NO,NO,4,"O3, O4, O6",Beginner,4,"-Not yet proficient in basic computer skills.
-It's a little overwhelming to follow the lessons because I don't have a good foundation in software, programming, and coding.",3
YES,2nd,English Language & Literature,YES,NO,NO,3,"O4, O6",Beginner,6,"Follwing, Understanding",5
YES,3rd,English Language & Literature,YES,NO,NO,4,O2,Intermediate,5,How to make good use of coding,7
YES,2nd,English Language & Literature,YES,NO,NO,3,"O4, O6",Beginner,5,I'm still inexperienced in learning coding.,5
YES,2nd,English Language & Literature,YES,NO,NO,2,"O1, O3, O4, O6",Beginner,3,a difficulty in coding.,4
YES,2nd,English Language & Literature,YES,YES,High_school,3,O3,Intermediate,3,It's about English grammar.,5
YES,4th,English Language & Literature,YES,NO,NO,5,"O5, O6",Intermediate,5,"Finding, evaluating, and using digital information for personal, educational, and professional purposes, understanding digital security and privacy, navigating online platforms and software applications, and having coding skills to create and develop software programs, websites, and other digital applications.",7
YES,Graduate,English Education,YES,YES,University,4,"O4, O6",Intermediate,5,매우 유용할 거라 생각하기 때문에 딱히 없습니다..,6
YES,Graduate,English Education,YES,NO,NO,5,"O1, O2, O4",Beginner,5,Terms of digital literacy,3
NO,Graduate,English Education,NO,NO,NO,1,"O1, O3",Beginner,4,I think it is rather difficult for beginners to understand the course during the class.,5
NO,Graduate,English Education,NO,NO,NO,4,"O5, O6",Beginner,3,개인적인 이해력,5
NO,2nd,English Education,NO,YES,University,4,O2,Advanced,5,It sounds a little vague about the definition of digital literacy and what it has to do with English education,7
YES,1st,English Education,YES,NO,NO,4,"O4, O6",Intermediate,2,.,5
NO,3rd,English Education,NO,YES,University,5,"O2, O4, O6",Intermediate,5,Falling behind(in coding),7
NO,Graduate,English Education,NO,NO,NO,4,O2,Advanced,5,"Communication and collaboration literacy, digital skills, media",6
NO,Graduate,English Education,NO,NO,NO,4,"O1, O2, O4",Intermediate,5,Lack of knowledge,7
NO,Graduate,English Education,NO,NO,NO,4,O5,Advanced,6,misunderstand about C+ language. shortage of computer thinking power,7
NO,Graduate,English Education,NO,YES,NO,5,O4,Intermediate,5,1. How to handle digital devices 2. Possession of up-to-date digital devices,7
YES,1st,English Education,YES,NO,NO,5,"O1, O2, O3, O4, O5, O6",Advanced,6,"learning to use softwares(Powerpoint, Spreadsheet, Word etc) as well as to code at a practically meaningful level may take extensive amounts of time and practice to master.",7
YES,3rd,English Education,YES,NO,NO,4,O2,Advanced,4,"I think teaching digital literacy unconsciously while teaching subject knowledge is more effective, not making a digital literacy class. Students may not feel they are learning something if they take the class.",8
NO,4th,English Language & Literature,NO,NO,NO,4,"O1, O2, O3, O4, O5",Advanced,4,difficulty in coding,7
YES,Graduate,English Education,YES,NO,NO,6,"O2, O6",Intermediate,6,"Time investment, the difficulty degree of Digital Literacy course, accessibility",7
NO,Graduate,English Education,NO,YES,University,4,"O4, O5, O6",Beginner,6,"memorizing all the difficult process, being lost during the class",7
NO,Graduate,English Education,NO,NO,NO,4,"O4, O5",Beginner,3,Catching up with all the technologies is overwhelming.,5
NO,Graduate,English Education,NO,NO,NO,6,"O2, O5",Advanced,6,coding skills,7
YES,Graduate,English Education,YES,NO,NO,4,"O1, O4, O6",Intermediate,5,My biggest concern is whether I can keep up with the things I learn in this course.,5
NO,1st,English Language & Literature,NO,NO,NO,3,"O1, O2, O4",Beginner,5,Rely on the machine,4
YES,4th,English Language & Literature,YES,YES,University,3,O4,Beginner,4,"The skills of handling digital are different for each student, so there will be a difference in level.",5
NO,2nd,English Language & Literature,NO,NO,NO,3,"O1, O4",Beginner,6,"As a humanities student, he will have an unfamiliar entry barrier to coding, which he thought was the exclusive property of engineering. No matter how integrated liberal arts departments are with students They know that the field they are confident in is limited to a specific subject. They may be very stressed out about taking this class.",4
YES,1st,English Education,YES,YES,High_school,3,O6,Intermediate,3,Speaking,6
NO,Graduate,English Education,NO,YES,University,6,"O1, O2, O4",Advanced,3,the difficulty of understanding some vocabularies that might be not familiar.,7
YES,1st,English Language & Literature,YES,NO,NO,4,O6,Beginner,6,"My biggest concern will be 'coding' in C++, Java, and Python.",3
NO,Graduate,English Education,NO,NO,NO,4,"O1, O2, O3, O4, O5, O6",Advanced,6,not familiar with digital skills,7
YES,2nd,English Language & Literature,YES,NO,NO,3,"O1, O4, O6",Intermediate,5,아직 컴퓨터 기술과 코딩이 부족해서 수업을 잘 따라가지 못할까봐 걱정입니다.,7
NO,Graduate,English Education,NO,NO,NO,4,"O3, O4, O6",Intermediate,6,"Own ability to use what I learn well, teacher student interaction, tool access, if it's appropriate for Korean students..",8
NO,Graduate,English Education,NO,NO,NO,5,"O2, O4, O6",Intermediate,5,"prior knowledge, how to incorporate what had been taught in the class to actual learning enrvironment",6
YES,2nd,English Education,NO,NO,NO,5,"O2, O6",Intermediate,5,how to use English education apps and programs to facilitate students' practice.,7
YES,2nd,English Education,YES,NO,NO,6,O2,Beginner,6,low level of computer related skills,3
YES,2nd,English Education,YES,NO,NO,2,O2,Intermediate,2,"I didn't use computer in many time, so I concern that I can't deal with computer skills well.",4
YES,2nd,English Education,YES,NO,NO,4,O6,Intermediate,4,I am concerned i can follow the technical skills using coding or different programs,4
YES,2nd,English Education,YES,NO,NO,5,O4,Beginner,5,I don’t know about computer’s basic technic and coding. So I think this lecture can be little bit hard to me.,6
YES,2nd,English Education,YES,NO,NO,3,O2,Intermediate,3,"I'm not good at coding and programming.
This concern is the biggest. 
In addition, i think i still lack basic knowledge of digital tools for education.
However, i know the importance of this. 
So, i decided to participate in this class.",5
YES,2nd,English Education,YES,NO,NO,4,O3,Intermediate,4,"Coding, Programming",3
YES,4th,English Education,YES,NO,NO,5,O6,Intermediate,5,"I think I’m unfamiliar with digital,coding",7
YES,2nd,English Education,YES,NO,NO,5,O2,Intermediate,5,"1. Lack of knowledge about software system
2. Never tried coding before",6
YES,2nd,English Education,YES,NO,NO,5,"O2, O3",Intermediate,5,coding,5
YES,2nd,English Education,YES,NO,NO,5,O4,Intermediate,5,1. not sure being able to catch up with the class having no based knowledge about the topic (ABSOLUTELY poor),1
YES,2nd,English Education,YES,NO,NO,5,O2,Intermediate,5,I do not have any experience in using coding or any other software programs and either have little understanding of how they work and apply to other subjects.,3
YES,2nd,English Education,YES,NO,NO,5,O2,Intermediate,5,"I can't do coding because I didn't learn it at middle and high school. If we learn it, I concern that I can't follow it well.",4
YES,2nd,English Education,YES,NO,NO,4,O4,Advanced,4,"Regarding the questions before, I expect that there might be some subjects about programming like coding. I've never tried that before and I've thought that it's for only engineers not me, english learner.",6
YES,2nd,English Education,YES,NO,NO,6,"O1, O2, O4, O5",Advanced,6,"I have not ever done about computer coding, spreadsheets, software before. So, my biggest concern is difficulty of learning new skills.",4
YES,2nd,English Education,YES,NO,NO,5,O2,Intermediate,5,Difficult English words related to digital literacy and learning a coding program,7
YES,2nd,English Education,YES,NO,NO,5,"O5, O6",Intermediate,5,coding,7
YES,2nd,English Education,YES,NO,NO,2,O2,Intermediate,2,"I don't have coding skills at all, so l'm afraid of it.",4
YES,2nd,English Education,YES,NO,NO,4,"O4, O6",Intermediate,4,"Coding, Programming, Excel, presentation",3
YES,2nd,English Education,YES,NO,NO,5,"O2, O3, O4",Intermediate,5,Because I do not have any coding skills so I concern that whether I can be good at coding.,6
YES,2nd,English Education,YES,NO,NO,5,O6,Intermediate,5,Learning about coding skills,6
YES,2nd,English Education,YES,NO,NO,5,O6,Beginner,5,"I'm not used to doing something with a computer, so I'm worried that it will be hard to follow the class.",1
YES,2nd,English Education,YES,NO,NO,5,"O4, O6",Intermediate,5,Coding skills,2
YES,2nd,English Education,YES,NO,NO,5,O6,Intermediate,5,"as the world's technical flow changes unprecedently, of course, the way I have to teach (if i can be a teacher) will be vary. but i'm not sure if i can establish my teaching skills in the future.",3
YES,2nd,English Education,YES,NO,NO,5,O5,Advanced,5,difficulty of using electronic equipment except for smartphone,3
YES,2nd,English Education,YES,NO,NO,4,O6,Beginner,4,"Coding skills are the biggest concern. Also, I don’t know how much I can understand.",6
YES,2nd,English Education,YES,NO,NO,5,"O2, O3, O5",Advanced,5,Digital literacy doesn't mean just coding but I think that my coding skill is inadequate.,4
YES,2nd,English Education,YES,NO,NO,5,"O4, O5, O6",Advanced,5,I’m worried about following an advanced coding class.,7
YES,2nd,English Education,YES,NO,NO,4,O2,Intermediate,4,I don't know coding and programming at all..,7
YES,2nd,English Education,YES,NO,NO,5,O6,Beginner,5,Difficulty of understanding computer programs,6
YES,2nd,English Education,YES,NO,NO,3,O2,Intermediate,3,"I am not good at coding, and I have hardly experienced digital literacy.",4
No,Graduate,English Education,YES,NO,NO,4,O6,Intermediate,5,#NAME?,1
No,Graduate,English Education,YES,NO,NO,4,O2,Intermediate,5,My lack of digital literacy and coding skills. Because I am not familiar with them but willing to navigate the world.,6
No,Graduate,English Education,YES,YES,University,5,"O2, O3",Advanced,5,Rapid changes in the digital world,7
No,3rd,English Education,NO,NO,NO,3,O5,Intermediate,5,I've never done coding before. So I'm afraid I can't keep up with the class.,6
No,1st,English Education,NO,YES,High_school,3,O1,Beginner,4,"I'm not good at computers, so I'm worried if I can follow the class well.",6
No,1st,English Education,NO,NO,NO,5,O4,Advanced,2,I'm not sure if I'm gonna use coding when I actually teach students.,6
No,1st,English Education,NO,NO,NO,1,O3,Intermediate,6,"I don't have much experiences in 'coding' or 'digital technology' So I'm worried If I can learned well and understand it. But If I take a this class, I wanna improve my digital literacy skills.",3
No,1st,English Education,NO,YES,Middle_school,3,"O1, O2, O3, O4, O5, O6",Advanced,5,There may be pretty big difference in class comprehension and skills between students who are familiar with digital work and those who are not.,7
No,1st,English Education,NO,NO,NO,1,"O1, O2, O3, O4, O5, O6",Beginner,4,I'm poor at using computer programs.,3
No,1st,English Education,NO,NO,NO,3,O2,Beginner,5,I'm concerned about whether I can use this technology appropriately for educational purposes based on each learning content.,3
No,1st,English Education,NO,NO,NO,2,O2,Intermediate,5,I concern i can’t follow well because i didn’t learn coding before.And i worry i can‘t understand the intention of this class because i have never imagined the connection of coding and English education.,6
No,1st,English Education,NO,NO,NO,4,O2,Beginner,4,Digital,6
No,1st,English Education,NO,NO,NO,1,O4,Beginner,4,"Coding, Software",5
No,1st,English Education,NO,NO,NO,4,O6,Beginner,3,Malfunction of device and mistakes due to inexperience with the device,3
No,1st,English Education,NO,NO,NO,3,O4,Beginner,5,coding,1
No,1st,English Education,NO,NO,NO,2,O2,Intermediate,2,I have no knowledge about coding. So l worry that I get very low achievement in the class.,3
No,1st,English Education,NO,NO,NO,1,"O2, O4, O5",Intermediate,4,"If the class is conducted only in English, it will be difficult for me to understand the contents of the class.",3
No,1st,English Education,NO,NO,NO,2,O2,Advanced,3,Difficulty level of coding.,4
No,1st,English Education,NO,NO,High_school,1,O2,Beginner,4,Level of digital literacy,2
No,1st,English Education,NO,NO,NO,2,O6,Beginner,3,my biggest concern is that I have never learned coding and coding is so unfamiliar to me,4
No,1st,English Education,NO,NO,NO,1,O6,Beginner,6,"Because I have never learned to code, I am worried if I will be able to understand and follow this class well.",1
No,1st,English Education,NO,NO,NO,2,O6,Beginner,4,I think I can confuse critical and negative thinking.,1
