ID,L1,L3,Age,L2Onset,StayOfPurpose,EngResidence,LOR,Target,Filename,Recognized,LenS,LenR,N_RecW,RecRate,Recognized_words,MissRec_words,WER,WER_lev
37,korean ,none,27,14,academic,usa,13.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean37.mp3,"Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",,0.057971014492753624,0.057971014492753624
40,korean ,chinese,21,17,academic,usa,2.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean40.mp3,"Please call Stella. Ask her to bring these things we're from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,68,98.55,"please, call, stella, ask, her, to, bring, these, things, we, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",re,0.057971014492753624,0.11594202898550725
41,korean ,none,50,12,academic,usa,9.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean41.mp3,"Please call Stella and ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,70,70,101.45,"please, call, stella, and, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",,0.08695652173913043,0.13043478260869565
46,korean ,japanese,21,21,academic,usa,0.3,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean46.mp3,"Please call Stella. Ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5-6 slaves of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.",69,69,64,92.75,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, spoons, of, fresh, snow, peas, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station","6, 5, 6, slaves, 3",0.10144927536231885,0.3188405797101449
53,korean ,spanish,25,9,academic,usa,16.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean53.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack of her brother Bob. We also need a small plastic snake and a big toy frog with the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, of, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, with, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",,0.057971014492753624,0.11594202898550725
56,korean ,tagalog,20,7,naturalistic,usa,3.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean56.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",,0.028985507246376812,0.028985507246376812
58,korean ,japanese,22,11,academic,usa,6.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean58.mp3,"Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three bread bags and we'll go meet her Wednesday at the train station.",69,69,67,97.1,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, bags, and, we, go, meet, her, wednesday, at, the, train, station","bread, ll",0.10144927536231885,0.13043478260869565
59,korean ,none,37,12,academic,usa,0.2,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean59.mp3,"Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",,0.07246376811594203,0.08695652173913043
66,korean ,french,21,5,academic,usa,0.1,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean66.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",,0.028985507246376812,0.028985507246376812
67,korean ,"japanes, french",21,5,academic,usa,0.1,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean67.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we'll go meet her Wednesday at the train station.",69,69,68,98.55,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, go, meet, her, wednesday, at, the, train, station",ll,0.057971014492753624,0.07246376811594203
68,korean ,spanish,62,25,academic,usa,34.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean68.mp3,"Please call Stella. Ask her to bring these things with her for the store. From the store, 6 spoons of fresh snow peas, 5 thick slab of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. You can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.",69,72,67,97.1,"please, call, stella, ask, her, to, bring, these, things, with, her, for, the, store, from, the, store, spoons, of, fresh, snow, peas, thick, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, can, scoop, these, things, into, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station","6, 5, slab, you, 3",0.15942028985507245,0.5072463768115942
70,korean ,none,53,3,academic,usa,15.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean70.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",,0.043478260869565216,0.057971014492753624
74,korean ,none,20,10,academic,usa,11.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean74.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",,0.028985507246376812,0.028985507246376812
77,korean ,chinese,20,5,academic,usa,0.9,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean77.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the keys. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,68,98.55,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",keys,0.043478260869565216,0.057971014492753624
80,korean ,"japanese, spanish",42,13,academic,usa,19.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean80.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five big slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags. We will go meet her Wednesday at the train station.",69,68,68,98.55,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, big, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, we, will, go, meet, her, wednesday, at, the, train, station",,0.07246376811594203,0.15942028985507245
85,korean ,mandarin,20,14,academic,usa,5.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean85.mp3,"Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we'll go meet her Wednesday at the train station.",69,69,68,98.55,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, go, meet, her, wednesday, at, the, train, station",ll,0.08695652173913043,0.10144927536231885
86,korean ,mandarin,21,6,academic,singaporeusa,2.5,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean86.mp3,"Police called Stella asked her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,66,95.65,"stella, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station","police, called, asked",0.10144927536231885,0.2028985507246377
88,korean ,none,24,9,academic,usa,4.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean88.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and will go with her Wednesday at the train station.",69,68,68,98.55,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, will, go, with, her, wednesday, at, the, train, station",,0.057971014492753624,0.13043478260869565
90,korean ,"japanese, french",35,12,academic,usa,6.8,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean90.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slaps of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,68,98.55,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",slaps,0.043478260869565216,0.043478260869565216
