SN,Filename,Runtime,Recognized,LenR,Sentence,LenS,N_RecW,RecRate,Recognized_words,MissRec_words,Sent_ws,LenS_ws,Rec_ws,LenR_ws,Correctwords_ws,Recwords_ws,RecRate_ws
S11,F06_post.wav,0.345, The foregrounds about the tactives and half periods are my favorite.,11,The programs about detectives and hospitals are my favorites,9,6,66.67,"the, about, the, and, are, my","foregrounds, tactives, half, periods, favorite",programs detectives hospitals favorites,4,foregrounds tactives half periods favorite,5,,0,0.0
S12,F06_pre.wav,0.33, The programs about detective and half-pierge are my favorites.,10,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, programs, about, and, are, my, favorites","detective, half, pierge",programs detectives hospitals favorites,4,programs detective half pierge favorites,5,"programs, favorites",2,50.0
S13,F07_post.wav,0.298, The problems about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, about, detectives, and, hospitals, are, my, favorites",problems,programs detectives hospitals favorites,4,problems detectives hospitals favorites,4,"detectives, hospitals, favorites",3,75.0
S14,F07_pre.wav,0.297, The programs that allow detectives and hospital are my favorites.,10,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, programs, detectives, and, are, my, favorites","that, allow, hospital",programs detectives hospitals favorites,4,programs allow detectives hospital favorites,5,"programs, detectives, favorites",3,75.0
S15,F08_post.wav,0.302, The program is about detectives and hospitals are my favorite.,10,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, about, detectives, and, hospitals, are, my","program, is, favorite",programs detectives hospitals favorites,4,program detectives hospitals favorite,4,"detectives, hospitals",2,50.0
S16,F08_pre.wav,0.322, The programs about detectives and hospitals are my favorite.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75.0
S17,F09_post.wav,0.266, The program about detectives and hospitals are my favorite.,9,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, about, detectives, and, hospitals, are, my","program, favorite",programs detectives hospitals favorites,4,program detectives hospitals favorite,4,"detectives, hospitals",2,50.0
S18,F09_pre.wav,0.227, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S19,F10_post.wav,0.224, The program about detective and husband are my favorites.,9,The programs about detectives and hospitals are my favorites,9,6,66.67,"the, about, and, are, my, favorites","program, detective, husband",programs detectives hospitals favorites,4,program detective husband favorites,4,favorites,1,25.0
S20,F10_pre.wav,0.221, Pull him about detective and hospital my favorite.,8,The programs about detectives and hospitals are my favorites,9,3,33.33,"about, and, my","pull, him, detective, hospital, favorite",programs detectives hospitals favorites,4,Pull detective hospital favorite,4,,0,0.0
S21,F11_post.wav,0.228, The program about detectives in hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, about, detectives, hospitals, are, my, favorites","program, in",programs detectives hospitals favorites,4,program detectives hospitals favorites,4,"detectives, hospitals, favorites",3,75.0
S22,F11_pre.wav,0.223, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S23,F12_post.wav,0.224, The programs about detectives and hospitals are my favourites.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my",favourites,programs detectives hospitals favorites,4,programs detectives hospitals favourites,4,"programs, detectives, hospitals",3,75.0
S24,F12_pre.wav,0.226, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S25,F13_post.wav,0.229, The programs about detectives and hospitals are my family.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my",family,programs detectives hospitals favorites,4,programs detectives hospitals family,4,"programs, detectives, hospitals",3,75.0
S26,F13_pre.wav,0.239," The programs, so about detectives and hospitals are my favorite.",10,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my","so, favorite",programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75.0
S27,F14_post.wav,0.24, The programs about detectives and hospitals are my favorite.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75.0
S28,F14_pre.wav,0.222, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S29,F15_post.wav,0.241, The programs are about detectives and hospitals are my favorite.,10,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, are, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75.0
S30,F15_pre.wav,0.236, The programs are about detectives and hospitals are my favorite.,10,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, are, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75.0
S31,M01_post.wav,0.229, The programs about detectives and hospital all my favorites.,9,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, programs, about, detectives, and, my, favorites","hospital, all",programs detectives hospitals favorites,4,programs detectives hospital favorites,4,"programs, detectives, favorites",3,75.0
S32,M01_pre.wav,0.22, Programs about detectives and hospitals are my favorite.,8,The programs about detectives and hospitals are my favorites,9,7,77.78,"programs, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,Programs detectives hospitals favorite,4,"detectives, hospitals",2,50.0
S33,M02_post.wav,0.217, Programs about detectives and hospital are my favorites.,8,The programs about detectives and hospitals are my favorites,9,7,77.78,"programs, about, detectives, and, are, my, favorites",hospital,programs detectives hospitals favorites,4,Programs detectives hospital favorites,4,"detectives, favorites",2,50.0
S34,M02_pre.wav,0.225, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S35,M03_post.wav,0.235, The programs about detectives and hospitors are my favorites.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, are, my, favorites",hospitors,programs detectives hospitals favorites,4,programs detectives hospitors favorites,4,"programs, detectives, favorites",3,75.0
S36,M03_pre.wav,0.224, The program about detectives and hospitals are my favorite.,9,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, about, detectives, and, hospitals, are, my","program, favorite",programs detectives hospitals favorites,4,program detectives hospitals favorite,4,"detectives, hospitals",2,50.0
S37,M04_post.wav,0.225, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S38,M04_pre.wav,0.237, The programs about detectives and hospitalers are my favorite.,9,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, programs, about, detectives, and, are, my","hospitalers, favorite",programs detectives hospitals favorites,4,programs detectives hospitalers favorite,4,"programs, detectives",2,50.0
S39,M05_post.wav,0.226, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S40,M05_pre.wav,0.222, The problem about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, about, detectives, and, hospitals, are, my, favorites",problem,programs detectives hospitals favorites,4,problem detectives hospitals favorites,4,"detectives, hospitals, favorites",3,75.0
S41,M06_post.wav,0.228, The problem about Dative and Hospital are my favorite.,9,The programs about detectives and hospitals are my favorites,9,5,55.56,"the, about, and, are, my","problem, dative, hospital, favorite",programs detectives hospitals favorites,4,problem Dative Hospital favorite,4,,0,0.0
S42,M06_pre.wav,0.217, The program about Detective and Hospital are my favorite.,9,The programs about detectives and hospitals are my favorites,9,5,55.56,"the, about, and, are, my","program, detective, hospital, favorite",programs detectives hospitals favorites,4,program Detective Hospital favorite,4,,0,0.0
S43,M07_post.wav,0.229, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S44,M07_pre.wav,0.227, The program about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, about, detectives, and, hospitals, are, my, favorites",program,programs detectives hospitals favorites,4,program detectives hospitals favorites,4,"detectives, hospitals, favorites",3,75.0
S45,M08_post.wav,0.222, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S46,M08_pre.wav,0.247, The programs about deaf-teafs and hospitals are my favorite.,10,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, programs, about, and, hospitals, are, my","deaf, teafs, favorite",programs detectives hospitals favorites,4,programs deaf teafs hospitals favorite,5,"programs, hospitals",2,50.0
S47,M09_post.wav,0.233, The programs about practice and hospitals are my friends.,9,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, programs, about, and, hospitals, are, my","practice, friends",programs detectives hospitals favorites,4,programs practice hospitals friends,4,"programs, hospitals",2,50.0
S48,M09_pre.wav,0.22," The programs about detectives, hospital or my favorites.",8,The programs about detectives and hospitals are my favorites,9,6,66.67,"the, programs, about, detectives, my, favorites","hospital, or",programs detectives hospitals favorites,4,programs detectives hospital favorites,4,"programs, detectives, favorites",3,75.0
S49,M10_post.wav,0.223, The problems about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, about, detectives, and, hospitals, are, my, favorites",problems,programs detectives hospitals favorites,4,problems detectives hospitals favorites,4,"detectives, hospitals, favorites",3,75.0
S50,M10_pre.wav,0.214, The programs about detective and hospital are my favorites.,9,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, programs, about, and, are, my, favorites","detective, hospital",programs detectives hospitals favorites,4,programs detective hospital favorites,4,"programs, favorites",2,50.0
S51,M11_post.wav,0.227, The program is about detectives and hospitals are my favorites.,10,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, about, detectives, and, hospitals, are, my, favorites","program, is",programs detectives hospitals favorites,4,program detectives hospitals favorites,4,"detectives, hospitals, favorites",3,75.0
S52,M11_pre.wav,0.228, The programs about detectives and hospitals are my favorite.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75.0
S53,M12_post.wav,0.224, The programs about tactics and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, and, hospitals, are, my, favorites",tactics,programs detectives hospitals favorites,4,programs tactics hospitals favorites,4,"programs, hospitals, favorites",3,75.0
S54,M12_pre.wav,0.22, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S55,M13_post.wav,0.225, Approvals about detectives and hospitals are my favorite.,8,The programs about detectives and hospitals are my favorites,9,6,66.67,"about, detectives, and, hospitals, are, my","approvals, favorite",programs detectives hospitals favorites,4,Approvals detectives hospitals favorite,4,"detectives, hospitals",2,50.0
S56,M13_pre.wav,0.23, The problems about detectives and hospital are my favorite.,9,The programs about detectives and hospitals are my favorites,9,6,66.67,"the, about, detectives, and, are, my","problems, hospital, favorite",programs detectives hospitals favorites,4,problems detectives hospital favorite,4,detectives,1,25.0
S57,M14_post.wav,0.232, The problems about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, about, detectives, and, hospitals, are, my, favorites",problems,programs detectives hospitals favorites,4,problems detectives hospitals favorites,4,"detectives, hospitals, favorites",3,75.0
S58,M14_pre.wav,0.224, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S59,M15_post.wav,0.223, The programs about detectives and hospitals are my favorite.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75.0
S60,M15_pre.wav,0.23, The programs about detective and hospitalers are my favorite.,9,The programs about detectives and hospitals are my favorites,9,6,66.67,"the, programs, about, and, are, my","detective, hospitalers, favorite",programs detectives hospitals favorites,4,programs detective hospitalers favorite,4,programs,1,25.0
